,Wavelength (nm),GE 200 W Clear,GE Wattmiser 52 W frosted,Spot 60 W,GE Reveal 3 Way
159,508,0.0950979,0.00879345,0.00866445,0.0141157
160,509,0.0960752,0.00889897,0.00875519,0.0140226
161,510,0.097052,0.00900473,0.00886235,0.0139144
162,511,0.0980587,0.00910574,0.00896388,0.0138214
163,512,0.0990364,0.00921401,0.00905503,0.0137705
164,513,0.0999385,0.00934005,0.00915584,0.0137858
165,514,0.10093,0.00945291,0.00925723,0.0138831
166,515,0.101949,0.00955333,0.00935584,0.0140555
167,516,0.102947,0.00964845,0.00945044,0.014279
168,517,0.103954,0.0097525,0.00954795,0.014515
169,518,0.104936,0.00986606,0.0096486,0.0147251
170,519,0.105898,0.00998117,0.00975058,0.0148706
171,520,0.106883,0.0100808,0.00985223,0.0149093
172,521,0.107857,0.010181,0.00995393,0.0148468
173,522,0.108842,0.0102927,0.010056,0.0147003
174,523,0.109874,0.0104205,0.0101589,0.0144958
175,524,0.110914,0.0105271,0.0102638,0.0142692
176,525,0.111953,0.0106331,0.0103691,0.0140662
177,526,0.112983,0.0107541,0.0104708,0.0139414
178,527,0.113999,0.0108701,0.0105744,0.0139087
179,528,0.115014,0.0109805,0.0106791,0.0139616
180,529,0.116043,0.0110883,0.0107828,0.0140863
181,530,0.117096,0.0112009,0.0108864,0.0142982
182,531,0.118123,0.011319,0.0109936,0.0146183
183,532,0.119134,0.0114368,0.0111055,0.0150574
184,533,0.120172,0.0115469,0.0112155,0.0155971
185,534,0.121247,0.0116648,0.0113241,0.0162323
186,535,0.122304,0.0117839,0.0114334,0.0169445
187,536,0.123313,0.0118974,0.0115485,0.0176986
188,537,0.124404,0.012018,0.0116677,0.0184506
189,538,0.12549,0.0121366,0.0117934,0.0191781
190,539,0.126532,0.0122494,0.0119295,0.019872
191,540,0.127588,0.0123617,0.0120749,0.0205209
192,541,0.128653,0.0124877,0.0122241,0.021118
193,542,0.129723,0.0126216,0.0123707,0.0216605
194,543,0.130787,0.0127422,0.0125086,0.0221517
195,544,0.131868,0.0128585,0.0126317,0.0225984
196,545,0.132955,0.0129744,0.0127356,0.0230049
197,546,0.134027,0.013093,0.0128159,0.0233703
198,547,0.135101,0.0132226,0.0128871,0.0237021
199,548,0.136179,0.0133515,0.0129611,0.0240028
200,549,0.137262,0.0134729,0.0130498,0.0242719
201,550,0.138341,0.0135978,0.0131475,0.0245267
202,551,0.139432,0.0137267,0.0132497,0.0247692
203,552,0.140525,0.0138545,0.0133522,0.0249961
204,553,0.14156,0.013965,0.0134588,0.0252158
205,554,0.142636,0.0140883,0.0135677,0.0254252
206,555,0.143748,0.0142214,0.0136766,0.0256215
207,556,0.144844,0.0143461,0.0137832,0.0258116
208,557,0.145937,0.0144722,0.01389,0.0259856
209,558,0.147026,0.0146023,0.0139999,0.0261364
210,559,0.148109,0.0147358,0.0141166,0.0262606
211,560,0.149221,0.0148634,0.0142349,0.0263513
212,561,0.150318,0.0149892,0.0143501,0.0263917
213,562,0.151393,0.0151171,0.0144582,0.0263575
214,563,0.152504,0.0152497,0.0145738,0.0262035
215,564,0.153585,0.0153771,0.0146964,0.025857
216,565,0.154644,0.0155011,0.01482,0.0252263
217,566,0.155751,0.0156348,0.0149332,0.0241834
218,567,0.156874,0.0157648,0.0150463,0.0226472
219,568,0.157985,0.0158922,0.015166,0.0206144
220,569,0.159058,0.0160224,0.0152825,0.0181909
221,570,0.160169,0.0161573,0.0154006,0.0156882
222,571,0.161279,0.0162919,0.0155199,0.0134253
223,572,0.16235,0.0164228,0.015632,0.0117544
224,573,0.16344,0.0165606,0.0157557,0.0107513
225,574,0.16455,0.0166936,0.0158839,0.0103421
226,575,0.165666,0.0168182,0.015998,0.0103289
227,576,0.166755,0.0169478,0.0161212,0.0105087
228,577,0.167847,0.0170776,0.016248,0.0107587
229,578,0.168957,0.0172082,0.0163694,0.0109823
230,579,0.170102,0.0173449,0.0164941,0.0110924
231,580,0.171232,0.0174795,0.0166188,0.0109845
232,581,0.172343,0.0176161,0.0167413,0.0105991
233,582,0.173452,0.0177598,0.0168655,0.00992725
234,583,0.17454,0.0178883,0.0169878,0.00916004
235,584,0.175617,0.0180154,0.0171099,0.00849884
236,585,0.176691,0.0181518,0.0172385,0.00817303
237,586,0.177775,0.0182835,0.0173581,0.00825923
238,587,0.178876,0.0184198,0.0174761,0.00872652
239,588,0.179988,0.0185615,0.0176059,0.00947289
240,589,0.181087,0.0186944,0.0177216,0.0103708
241,590,0.182184,0.0188304,0.01783,0.0113471
242,591,0.183263,0.0189688,0.0179417,0.0123695
243,592,0.184288,0.0191012,0.0180578,0.0134737
244,593,0.185322,0.0192313,0.0181807,0.014718
245,594,0.186355,0.0193592,0.0183069,0.0161144
246,595,0.187372,0.0194838,0.0184208,0.0176089
247,596,0.188492,0.0196069,0.0185343,0.0191106
248,597,0.189648,0.0197348,0.018651,0.020558
249,598,0.190783,0.0198704,0.0187702,0.0219086
250,599,0.191937,0.0200031,0.0188963,0.0232076
251,600,0.19306,0.0201449,0.0190244,0.0244943
252,601,0.194155,0.0202959,0.0191487,0.0257977
253,602,0.195304,0.0204403,0.0192795,0.0270878
254,603,0.196475,0.0205872,0.0194051,0.0283283
255,604,0.197665,0.0207391,0.0195207,0.0294884
256,605,0.198888,0.0208957,0.0196488,0.0305494
257,606,0.200187,0.0210491,0.0197845,0.0315026
258,607,0.201478,0.0211969,0.0199251,0.032363
259,608,0.202664,0.0213392,0.0200682,0.0331722
260,609,0.203884,0.0214825,0.0202309,0.0339887
261,610,0.20511,0.0216285,0.0204068,0.0348466
262,611,0.206299,0.0217744,0.020575,0.035763
263,612,0.207385,0.0218991,0.0206966,0.0367204
264,613,0.208583,0.0220511,0.0207719,0.0376741
265,614,0.209919,0.0222333,0.0208217,0.0385736
266,615,0.211149,0.0223782,0.0209018,0.0393885
267,616,0.212174,0.0225147,0.0209987,0.0400859
268,617,0.213005,0.0226398,0.0211006,0.0406495
269,618,0.213746,0.0227358,0.0212178,0.0411009
270,619,0.214389,0.022829,0.0213402,0.0414493
271,620,0.215086,0.0229347,0.0214615,0.0417209
272,621,0.21597,0.0230591,0.0215766,0.0419586
273,622,0.216753,0.0231736,0.0217003,0.0421835
274,623,0.217462,0.0232847,0.0218288,0.0424164
275,624,0.218174,0.023401,0.0219499,0.042674
276,625,0.218973,0.0235226,0.022059,0.04294
277,626,0.219837,0.0236386,0.0221631,0.0432017
278,627,0.220742,0.0237495,0.0222711,0.0434497
279,628,0.221642,0.023872,0.0223829,0.0436776
280,629,0.222606,0.0239917,0.0224924,0.043897
281,630,0.223631,0.024116,0.0225978,0.0441234
282,631,0.224674,0.0242632,0.0227069,0.0443814
283,632,0.225687,0.0244058,0.0228074,0.0446532
284,633,0.226717,0.0245426,0.0229003,0.0449376
285,634,0.227823,0.0246787,0.0229979,0.0452461
286,635,0.228929,0.0248103,0.0231099,0.0455728
287,636,0.230067,0.0249429,0.0232387,0.0459083
288,637,0.231238,0.0250797,0.0233789,0.0462385
289,638,0.232308,0.0252168,0.0234956,0.0465274
290,639,0.233395,0.0253558,0.0236063,0.0468119
291,640,0.234527,0.0254955,0.0237287,0.0471221
292,641,0.235634,0.0256323,0.0238551,0.0474314
293,642,0.236724,0.0257657,0.0239741,0.0477315
294,643,0.237805,0.0259011,0.0240826,0.0480205
295,644,0.238903,0.0260487,0.0241928,0.0483128
296,645,0.23995,0.0261909,0.0243084,0.0485878
297,646,0.240971,0.0263284,0.0244265,0.0488534
298,647,0.242003,0.0264652,0.0245378,0.0491319
299,648,0.243019,0.0265997,0.0246483,0.0494056
300,649,0.244028,0.0267299,0.0247646,0.0496762
301,650,0.245018,0.0268576,0.0248895,0.0499458
302,651,0.245942,0.0270052,0.0250082,0.0502058
303,652,0.246906,0.0271427,0.0251174,0.0504651
304,653,0.247924,0.027262,0.0252211,0.0507301
305,654,0.248869,0.0273868,0.025343,0.0509993
306,655,0.249826,0.0275199,0.0254592,0.0512637
307,656,0.250796,0.0276553,0.0255656,0.0515189
308,657,0.251745,0.02778,0.0256821,0.0517667
309,658,0.252682,0.0279065,0.0257986,0.0520119
310,659,0.253636,0.0280341,0.0259107,0.0522514
311,660,0.254641,0.028161,0.0260174,0.0524813
312,661,0.255622,0.0282878,0.0261284,0.0527004
313,662,0.256577,0.0284224,0.0262399,0.0529073
314,663,0.257504,0.0285628,0.0263466,0.0530979
315,664,0.258391,0.0286752,0.0264537,0.0532602
316,665,0.259279,0.0287894,0.0265623,0.0534118
317,666,0.260196,0.0289171,0.0266742,0.0535638
318,667,0.261126,0.029041,0.0267918,0.0537085
319,668,0.262091,0.0291739,0.0269064,0.0538402
320,669,0.263057,0.0293081,0.027016,0.0539606
321,670,0.263964,0.0294245,0.027125,0.0540799
322,671,0.264874,0.0295452,0.0272323,0.0542145
323,672,0.265773,0.0296672,0.0273414,0.05435
324,673,0.26665,0.0297842,0.027456,0.0544641
325,674,0.26759,0.0299098,0.0275552,0.0545702
326,675,0.268511,0.0300351,0.0276553,0.0546649
327,676,0.269369,0.0301553,0.0277688,0.054741
328,677,0.270276,0.0302839,0.0278705,0.0547753
329,678,0.271161,0.0304045,0.0279724,0.0547855
330,679,0.272008,0.0305173,0.0280789,0.0547739
331,680,0.272888,0.0306503,0.0281816,0.0547189
332,681,0.273754,0.0307787,0.0282885,0.0546252
333,682,0.274621,0.0309035,0.0283987,0.0545099
334,683,0.275517,0.0310371,0.0285046,0.0544017
335,684,0.276409,0.0311663,0.0286095,0.0544239
336,685,0.277379,0.0313018,0.0287148,0.0546218
337,686,0.278494,0.0314547,0.0288209,0.0549966
338,687,0.279502,0.0315945,0.0289261,0.0554648
339,688,0.280406,0.0317195,0.0290238,0.0559727
340,689,0.281238,0.0318353,0.0291148,0.0564889
341,690,0.282053,0.0319626,0.0292224,0.0570263
342,691,0.282873,0.0320831,0.0293294,0.0575883
343,692,0.283705,0.0321946,0.0294297,0.0581661
344,693,0.284533,0.0323149,0.0295271,0.058737
345,694,0.285412,0.0324493,0.0296305,0.0592928
346,695,0.286301,0.0325868,0.0297348,0.0598213
347,696,0.28711,0.0327058,0.02983,0.0603111
348,697,0.287916,0.032813,0.0299281,0.0607704
349,698,0.288726,0.032921,0.0300289,0.0612028
350,699,0.289524,0.0330405,0.030129,0.0616071
351,700,0.290378,0.0331728,0.0302327,0.0619836
352,701,0.291227,0.033301,0.0303302,0.0623268
353,702,0.292036,0.0334166,0.0304205,0.062643
354,703,0.292834,0.0335321,0.0305165,0.0629536
355,704,0.293645,0.0336525,0.030617,0.0632653
356,705,0.294452,0.0337725,0.0307226,0.0635727
357,706,0.295208,0.0338742,0.0308355,0.0638637
358,707,0.295992,0.0339848,0.0309313,0.0641273
359,708,0.296773,0.0341061,0.0310177,0.0643786
360,709,0.297483,0.0342289,0.0311106,0.0646382
361,710,0.298291,0.0343481,0.0312126,0.0648953
362,711,0.299135,0.0344628,0.0313118,0.0651385
363,712,0.299933,0.0345751,0.0314021,0.0653631
364,713,0.300661,0.0346835,0.0314909,0.0655719
365,714,0.301391,0.0347939,0.0315749,0.0657687
366,715,0.302162,0.0349112,0.0316592,0.0659527
367,716,0.302965,0.0350421,0.0317602,0.0661199
368,717,0.303769,0.0351654,0.0318558,0.0662699
369,718,0.304556,0.0352762,0.0319474,0.0663986
370,719,0.305313,0.0353832,0.0320441,0.0665005
371,720,0.306022,0.0354953,0.0321296,0.0665674
